,open,close,high,low,volume,money
2017-11-08,160.87,160.83,160.87,160.83,23086500.0,224983577.0
2017-11-09,160.85,160.84,160.85,160.8,11891000.0,111003095.0
2017-11-10,160.86,160.89,160.89,160.86,8196100.0,79363970.0
2017-11-13,160.93,160.82,160.94,160.82,12306000.0,117880671.0
2017-11-14,160.83,160.74,160.85,160.74,26488200.0,254243951.0
2017-11-15,160.75,160.65,160.77,160.64,31122300.0,286879042.0
2017-11-16,160.66,160.67,160.68,160.64,17370900.0,165585960.0
2017-11-17,160.69,160.67,160.7,160.67,8598800.0,83803427.0
2017-11-20,160.71,160.7,160.73,160.69,13431600.0,129831906.0
2017-11-21,160.71,160.68,160.72,160.68,23633000.0,233477432.0
2017-11-22,160.7,160.67,160.73,160.67,17413200.0,169831690.0
2017-11-23,160.69,160.66,160.7,160.66,16561100.0,160536350.0
2017-11-24,160.68,160.72,160.72,160.68,18367900.0,180283277.0
2017-11-27,160.76,160.76,160.8,160.75,13864000.0,135822054.0
2017-11-28,160.78,160.78,160.79,160.77,24919900.0,243708535.0
2017-11-29,160.8,160.78,160.81,160.76,14793500.0,145575254.0
2017-11-30,160.8,160.81,160.84,160.8,17025000.0,165326117.0
2017-12-01,160.82,160.8,160.84,160.7,18102400.0,177796949.0
2017-12-04,160.85,160.83,160.85,160.8,22941600.0,224612676.0
2017-12-05,160.85,160.87,160.88,160.85,21963800.0,212530270.0
2017-12-06,160.89,160.87,160.89,160.85,21231300.0,204609296.0
2017-12-07,160.88,160.92,160.93,160.87,25090800.0,248088870.0
2017-12-08,160.94,160.92,160.94,160.91,26432700.0,262688648.0
